code,state,residency_days,residency_text,wait_days,wait_days_children,wait_from,wait_text,no_fault_text,separation_days,fee_usd,fee_text,statute,source_url,changed,verified_date,notes
AL,Alabama,180,6 months if the other spouse lives outside Alabama; none if both live in Alabama,30,,filing,30 days after filing,Incompatibility or irretrievable breakdown,,,Set by county,Ala. Code §§30-2-5; 30-2-8.1,https://judicial.alabama.gov/,,2026-09-26,
AK,Alaska,0,Resident (domiciled) at filing; no minimum period,30,,filing,Dissolution hearing 30+ days after filing,Incompatibility of temperament,,,Set by statewide fee schedule,AS 25.24.080; 25.24.220,https://courts.alaska.gov/shc/family/start.htm,,2026-09-26,
AZ,Arizona,90,90 days domicile,60,,service,60 days after service,Irretrievably broken,,,Set by county,A.R.S. §§25-312; 25-329,https://www.azleg.gov/ars/25/00312.htm,,2026-09-26,Covenant marriages have stricter grounds
AR,Arkansas,60,"60 days before filing, 3 months before decree",30,,filing,30 days after filing,18 months' separation (no-fault ground),548,,Set by county,Ark. Code §9-12-307,https://codes.findlaw.com/ar/title-9-family-law/ar-code-sect-9-12-307/,,2026-09-26,Most uncontested cases use fault grounds such as general indignities
CA,California,180,6 months state; 3 months county,183,,service,6 months + 1 day after service (earliest final date),Irreconcilable differences,,435,"$435 petition; $435 response (statewide fee schedule, 2026)",Cal. Fam. Code §§2320; 2339,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=FAM&sectionNum=2339,,2026-09-26,
CO,Colorado,91,91 days domicile,91,,service,91 days after service,Irretrievably broken,,230,$230,C.R.S. §14-10-106,https://colorado.public.law/statutes/crs_14-10-106,,2026-09-26,
CT,Connecticut,365,File any time; 12 months' residence before decree (with exceptions),90,,filing,90 days after the return date,Irretrievable breakdown,,,Set by statewide fee schedule,Conn. Gen. Stat. §§46b-44; 46b-67,https://www.jud.ct.gov/LawLib/law/divorce.htm,,2026-09-26,
DE,Delaware,180,6 months,0,,none,No statutory waiting period after filing,Irretrievably broken,,,Set by Family Court,13 Del. C. §1504,https://delcode.delaware.gov/title13/c015/index.html,,2026-09-26,
DC,District of Columbia,180,6 months,0,,none,None,One or both spouses no longer wish to remain married,,,Set by Superior Court,D.C. Code §§16-902; 16-904,https://code.dccouncil.gov/us/dc/council/code/sections/16-904,2024: separation requirement removed (D.C. Law 25-115),2026-09-26,
FL,Florida,180,6 months,20,,filing,20 days after filing,Irretrievably broken,,,About $398–$408 by county (Collier $408); base up to $295 under §28.241,Fla. Stat. §§61.021; 61.19,http://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0000-0099/0061/Sections/0061.19.html,,2026-09-26,
GA,Georgia,180,6 months,30,,service,30 days after service,Irretrievably broken,,,Fulton County $220 + $50 sheriff service,O.C.G.A. §§19-5-2; 19-5-3,https://law.onecle.com/georgia/title-19/19-5-3.html,,2026-09-26,
HI,Hawaii,180,6 months state; 3 months circuit (per Hawaii Judiciary),0,,none,No statutory waiting period,Irretrievably broken,,,Set by Family Court,HRS §580-1,https://www.courts.state.hi.us/self-help/divorce/divorce_facts,,2026-09-26,
ID,Idaho,42,6 full weeks,21,,service,21 days after filing and service,Irreconcilable differences,,,Set by statewide fee schedule,Idaho Code §§32-701; 32-716,https://legislature.idaho.gov/statutesrules/idstat/title32/t32ch7/sect32-716/,,2026-09-26,
IL,Illinois,90,90 days,0,,none,None,Irreconcilable differences (6 months apart = irrebuttable presumption),,,Cook County $388 petition; $250 appearance by the other spouse,750 ILCS 5/401,https://codes.findlaw.com/il/chapter-750-families/il-st-sect-750-5-401/,,2026-09-26,
IN,Indiana,180,6 months state; 3 months county,60,,filing,60 days after filing,Irretrievable breakdown,,,Set by county,IC 31-15-2-6; 31-15-2-10,https://codes.findlaw.com/in/title-31-family-law-and-juvenile-law/in-code-sect-31-15-2-10/,,2026-09-26,
IA,Iowa,365,1 year (unless respondent is an Iowa resident served in person),90,,service,90 days after service,Breakdown of the marriage,,,Set by statewide fee schedule,Iowa Code §§598.5; 598.19,https://www.legis.iowa.gov/docs/code/598.19.pdf,,2026-09-26,
KS,Kansas,60,60 days,60,,filing,60 days after filing,Incompatibility,,,Set by statewide fee schedule,K.S.A. §§23-2703; 23-2708,https://ksrevisor.gov/statutes/chapters/ch23/023_027_0008.html,,2026-09-26,
KY,Kentucky,180,180 days,60,60,separation,Must live apart 60 days before decree (same roof allowed); 60-day testimony wait if minor children,Irretrievably broken,60,,Set by county,KRS 403.140; 403.170; 403.044,https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=1447,,2026-09-26,
LA,Louisiana,0,Domicile in Louisiana,180,365,separation,180 days apart (no minor children) or 365 days (minor children),Living separate and apart,180,,Set by parish,La. Civ. Code arts. 102; 103; 103.1,https://www.legis.la.gov/legis/Law.aspx?d=408225,,2026-09-26,Covenant marriages have longer periods
ME,Maine,180,6 months (other bases possible),60,,service,60 days after service,Irreconcilable marital differences,,,Set by statewide fee schedule,19-A M.R.S. §§901; 902,https://legislature.maine.gov/statutes/19-A/title19-Asec901.html,,2026-09-26,
MD,Maryland,180,6 months if grounds arose outside Maryland,0,,none,None,Irreconcilable differences; mutual consent; 6-month separation,,,Set by statewide fee schedule,Md. Code Fam. Law §§7-101; 7-103,https://mgaleg.maryland.gov/mgawebsite/Laws/StatuteText?article=gfl&section=7-103&enactments=false,"2023: new no-fault grounds (irreconcilable differences, 6-month separation)",2026-09-26,
MA,Massachusetts,365,1 year if the cause arose outside Massachusetts; domicile if inside,120,,filing,"Joint (1A): nisi ~30 days after approval + 90 days; contested (1B): hearing 6+ months after filing, then 90 days",Irretrievable breakdown,,,Set by statewide fee schedule,G.L. c. 208 §§1A; 1B; 5; 21,https://malegislature.gov/Laws/GeneralLaws/PartII/TitleIII/Chapter208/Section21,,2026-09-26,
MI,Michigan,180,180 days state; 10 days county,60,182,filing,60 days after filing (no minor children); 6 months with children,Breakdown of the marriage,,,Set by statewide fee schedule,MCL 552.9; 552.9f,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-552-9f,,2026-09-26,
MN,Minnesota,180,180 days,0,,none,None,Irretrievable breakdown,,,Set by statewide fee schedule,Minn. Stat. §518.07,https://www.revisor.mn.gov/statutes/cite/518.07,,2026-09-26,
MS,Mississippi,180,6 months,60,,filing,60 days after filing (irreconcilable differences),Irreconcilable differences (both must agree),,,Set by county,Miss. Code §§93-5-2; 93-5-5,https://law.justia.com/codes/mississippi/title-93/chapter-5/section-93-5-2/,,2026-09-26,
MO,Missouri,90,90 days,30,,filing,30 days after filing,Irretrievably broken,,,Set by county,RSMo §452.305,https://revisor.mo.gov/main/OneSection.aspx?section=452.305,,2026-09-26,
MT,Montana,90,90 days domicile,0,,none,None,180 days apart or serious marital discord,,,Set by statewide fee schedule,MCA §40-4-104,https://mca.legmt.gov/bills/mca/title_0400/chapter_0040/part_0010/section_0040/0400-0040-0010-0040.html,,2026-09-26,
NE,Nebraska,365,1 year (or married in Nebraska and resided there since),60,,service,60 days after service,Irretrievably broken,,,Set by statewide fee schedule,Neb. Rev. Stat. §§42-349; 42-363,https://nebraskalegislature.gov/laws/statutes.php?statute=42-363,,2026-09-26,
NV,Nevada,42,6 weeks,0,,none,None,Incompatibility; 1 year apart,,,Set by county,NRS 125.020,https://www.leg.state.nv.us/NRS/NRS-125.html,,2026-09-26,
NH,New Hampshire,365,1 year domicile (shorter if both domiciled in NH),0,,none,None,Irreconcilable differences,,,Set by statewide fee schedule,RSA 458:5,https://gc.nh.gov/rsa/html/XLIII/458/458-5.htm,,2026-09-26,
NJ,New Jersey,365,1 year (except adultery),0,,none,None,Irreconcilable differences for 6 months; or 18 months' separation,,,Set by statewide fee schedule,N.J.S.A. 2A:34-2; 2A:34-10,https://codes.findlaw.com/nj/title-2a-administration-of-civil-and-criminal-justice/nj-st-sect-2a-34-10/,,2026-09-26,
NM,New Mexico,180,6 months,0,,none,None,Incompatibility,,,Set by statewide fee schedule,NMSA §40-4-5,https://law.justia.com/codes/new-mexico/chapter-40/article-4/section-40-4-5/,,2026-09-26,
NY,New York,365,"1 year (if married, lived or cause arose in NY) or 2 years",0,,none,None,Irretrievable breakdown for 6 months (sworn),,335,$335 statewide ($210 index number + $95 RJI + $30 note of issue),N.Y. Dom. Rel. Law §§170(7); 230,https://www.nysenate.gov/legislation/laws/DOM/230,,2026-09-26,
NC,North Carolina,180,6 months,365,,separation,1 year of separation before filing,1 year's separation,365,225,"$225 statewide ($150 civil + $75 absolute divorce, G.S. 7A-305)",N.C.G.S. §§50-6; 50-8,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_50/GS_50-6.html,,2026-09-26,
ND,North Dakota,180,6 months before commencement (or before decree),0,,none,None,Irreconcilable differences,,,Set by statewide fee schedule,N.D.C.C. §14-05-17,https://ndlegis.gov/cencode/t14c05.pdf,,2026-09-26,
OH,Ohio,180,6 months state (filing spouse); 90 days county (Civ.R. 3),30,,filing,Dissolution: hearing 30-90 days after filing; divorce: not heard until 42 days after service (Civ.R. 75(K)),Incompatibility; 1 year apart,,,Franklin County $275 divorce / $225 dissolution,Ohio Rev. Code §§3105.03; 3105.64,https://codes.ohio.gov/ohio-revised-code/section-3105.64,,2026-09-26,
OK,Oklahoma,180,6 months state; 30 days county,0,90,filing,90 days if there are minor children,Incompatibility,,,Set by county,43 O.S. §§102; 107.1,https://www.oscn.net/applications/oscn/index.asp?ftdb=STOKST43,,2026-09-26,
OR,Oregon,180,6 months (none if married in Oregon and a resident),0,,none,None,Irreconcilable differences,,,Set by statewide fee schedule,ORS 107.075,https://oregon.public.law/statutes/ors_107.075,,2026-09-26,
PA,Pennsylvania,180,6 months,90,,service,90 days after service (mutual consent); or 1 year separation,Irretrievable breakdown,,,"Philadelphia $334.73 to file + $66.22 praecipe to transmit (eff. Nov. 12, 2025)",23 Pa.C.S. §§3104; 3301,https://www.legis.state.pa.us/WU01/LI/LI/CT/HTM/23/00.033.001.000..HTM,,2026-09-26,
RI,Rhode Island,365,1 year,90,,decision,Final judgment 3 months after the decision,Irreconcilable differences,,,Set by Family Court,R.I. Gen. Laws §§15-5-12; 15-5-23,https://webserver.rilegislature.gov/Statutes/TITLE15/15-5/15-5-23.htm,,2026-09-26,
SC,South Carolina,365,1 year (3 months if both spouses are residents),365,,separation,1 year of separation (no-fault ground),1 year's separation,365,,Set by county,S.C. Code §§20-3-10; 20-3-30,https://www.scstatehouse.gov/code/t20c003.php,,2026-09-26,
SD,South Dakota,0,Resident at filing,60,,service,60 days after service,Irreconcilable differences,,,Set by statewide fee schedule,SDCL 25-4-30; 25-4-34,https://sdlegislature.gov/api/Statutes/25-4-34.html,,2026-09-26,
TN,Tennessee,180,6 months,60,90,filing,60 days after filing (no minor children); 90 days with children,Irreconcilable differences; 2 years apart (no minor children),,,Set by county,Tenn. Code §§36-4-101; 36-4-103; 36-4-104,https://codes.findlaw.com/tn/title-36-domestic-relations/tn-code-sect-36-4-103/,,2026-09-26,
TX,Texas,180,6 months state; 90 days county,60,,filing,60 days after filing,Insupportability,,,"Harris County $350 (no children) / $365 (children), 2026",Tex. Fam. Code §§6.301; 6.702,https://texas.public.law/statutes/tex._fam._code_section_6.702,,2026-09-26,
UT,Utah,90,90 days in the county,30,,filing,30 days after filing,Irreconcilable differences,,,Set by statewide fee schedule,Utah Code §81-4-402,https://www.utcourts.gov/en/self-help/case-categories/family/divorce/waiting-period.html,"Sept. 1, 2024: recodified from Title 30 to Title 81",2026-09-26,
VT,Vermont,180,6 months to file; 1 year before final hearing,180,,separation,6 consecutive months apart (no-fault ground),6 consecutive months apart,180,,Set by statewide fee schedule,15 V.S.A. §§551; 592,https://legislature.vermont.gov/statutes/section/15/011/00592,,2026-09-26,
VA,Virginia,180,6 months,180,,separation,6 months apart (no minor children + separation agreement) or 1 year,Separation,180,,Set by statewide fee schedule,Va. Code §§20-91; 20-97,https://law.lis.virginia.gov/vacode/title20/chapter6/section20-91/,,2026-09-26,
WA,Washington,0,Resident at filing,90,,service,90 days after filing and service,Irretrievably broken,,,Set by county,RCW 26.09.030,https://app.leg.wa.gov/RCW/default.aspx?cite=26.09.030,,2026-09-26,
WV,West Virginia,365,1 year (none if married in WV and a resident),0,,none,None,Irreconcilable differences; 1 year apart,,,Set by statewide fee schedule,W. Va. Code §§48-5-105; 48-5-201,https://code.wvlegislature.gov/48-5-105/,,2026-09-26,
WI,Wisconsin,180,6 months state; 30 days county,120,,service,120 days after service,Irretrievably broken,,,Set by statewide fee schedule,Wis. Stat. §§767.301; 767.335,https://docs.legis.wisconsin.gov/statutes/statutes/767.pdf,,2026-09-26,
WY,Wyoming,60,60 days (or married in WY and resided since),20,,filing,20 days after filing,Irreconcilable differences,,,Set by statewide fee schedule,Wyo. Stat. §§20-2-107; 20-2-108,https://wyoleg.gov/statutes/compress/title20.pdf,,2026-09-26,
